arth,Anifail
tarw,Anifail
camel,Anifail
cath,Anifail
buwch,Anifail
carw,Anifail
ci,Anifail
eleffant,Anifail
ceffyl,Anifail
cath bach,Anifail
llew,Anifail
mwnci,Anifail
llygoden,Anifail
wystrysen,Anifail
ci bach,Anifail
llygoden mawr,Anifail
dafad,Anifail
teigr,Anifail
crwban,Anifail
sebra,Anifail
ladd-dy,Adeilad
canolfan,Adeilad
clwb,Adeilad
dortur,Adeilad
tŷ gwydr,Adeilad
cyntedd,Adeilad
ysbyty,Adeilad
gwesty,Adeilad
tŷ,Adeilad
tafarn,Adeilad
llyfrgell,Adeilad
meithrin,Adeilad
bwyty,Adeilad
ysgol,Adeilad
nendwr,Adeilad
tafarndy,Adeilad
theatr,Adeilad
fila,Adeilad
puteindy,Adeilad
trôns,Dillad
blows,Dillad
cot,Dillad
costiwm,Dillad
megyg,Dillad
het,Dillad
siaced,Dillad
jîns,Dillad
mwclis,Dillad
pyjamas,Dillad
cochl,Dillad
scarff,Dillad
crys,Dillad
siwt,Dillad
trywsus,Dillad
gwisg,Dillad
pensaer,Crëwr
arlunydd,Crëwr
adeiladwr,Crëwr
lluniwr,Crëwr
crefftwr,Crëwr
dylunydd,Crëwr
datblygwr,Crëwr
ffermwr,Crëwr
dyfeisiwr,Crëwr
crëwr,Crëwr
gwneuthurwr,Crëwr
cerddor,Crëwr
cychwynnwr,Crëwr
paentiwr,Crëwr
ffotograffydd,Crëwr
cynhyrchydd,Crëwr
teilwr,Crëwr
acne,Afiechyd
anthracs,Afiechyd
arthritis,Afiechyd
asthma,Afiechyd
canser,Afiechyd
colera,Afiechyd
sirosis,Afiechyd
clefyd siwgwr,Afiechyd
ecsema,Afiechyd
ffliw,Afiechyd
glawcoma,Afiechyd
hepatitis,Afiechyd
lewcemia,Afiechyd
camfaethiad,Afiechyd
llid yr ymennydd,Afiechyd
pla,Afiechyd
cryd cymalau,Afiechyd
brech wen,Afiechyd
dicter,Teimlad
awydd,Teimlad
ofn,Teimlad
hapusrwydd,Teimlad
llawenydd,Teimlad
cariad,Teimlad
poen,Teimlad
angerdd,Teimlad
pleser,Teimlad
tristwch,Teimlad
sensitifrwydd,Teimlad
cywilydd,Teimlad
rhyfeddod,Teimlad
afal,Ffrwyth
banana,Ffrwyth
aeron,Ffrwyth
ceirios,Ffrwyth
grawnwin,Ffrwyth
ciwi,Ffrwyth
lemwn,Ffrwyth
mango,Ffrwyth
melon,Ffrwyth
olewydd,Ffrwyth
oren,Ffrwyth
eirinen wlanog,Ffrwyth
gellygen,Ffrwyth
pinafal,Ffrwyth
mefys,Ffrwyth
dyfrfelon,Ffrwyth
gwely,Dodrefn
silf llyfrau,Dodrefn
cwpwrdd,Dodrefn
cadair,Dodrefn
cowtsh,Dodrefn
crud,Dodrefn
desg,Dodrefn
tresel,Dodrefn
lamp,Dodrefn
lolfa,Dodrefn
sedd,Dodrefn
soffa,Dodrefn
bwrdd,Dodrefn
cwpwrdd dillad,Dodrefn
pigwrn,Corff
braich,Corff
clyst,Corff
llygad,Corff
gwyneb,Corff
bys,Corff
troed,Corff
llaw,Corff
pen,Corff
coes,Corff
trwyn,Corff
ysgwydd,Corff
byd troed,Corff
tafod,Corff
dant,Corff
addwrn,Corff
atlas,Cyhoeddiad
llyfr,Cyhoeddiad
llyfryn,Cyhoeddiad
pamffled,Cyhoeddiad
catalog,Cyhoeddiad
llyfr coginio,Cyhoeddiad
geiriadur,Cyhoeddiad
gwyddoniadur,Cyhoeddiad
llawllyfr,Cyhoeddiad
cyfnodolyn,Cyhoeddiad
cylchgrawn,Cyhoeddiad
seinglawr,Cyhoeddiad
llyfr ffôn,Cyhoeddiad
cyfeirlyfr,Cyhoeddiad
gwerslyfr,Cyhoeddiad
llyfr gwaith,Cyhoeddiad
bachgen,Teulu
plentyn,Teulu
cefnithr,Teulu
merch,Teulu
tad,Teulu
geneth,Teulu
ŵyr,Teulu
tadcu,Teulu
nain,Teulu
gŵr,Teulu
crwt,Teulu
mam,Teulu
epil,Teulu
sibling,Teulu
mab,Teulu
gwraig,Teulu
canrif,Amser
degawd,Amser
oed,Amser
noswaith,Amser
hydref,Amser
awr,Amser
mis,Amser
broe,Amser
nos,Amser
goramser,Amser
chwarter,Amser
tymor,Amser
semester,Amser
gwanwyn,Amser
haf,Amser
wythnos,Amser
penwythnos,Amser
gaeaf,Amser
blwyddyn,Amser
awyren,Cerbyd
llong awyr,Cerbyd
cerbyd,Cerbyd
beic,Cerbyd
cwch,Cerbyd
car,Cerbyd
criwser,Cerbyd
hofrennydd,Cerbyd
beic modur,Cerbyd
tryc,Cerbyd
roced,Cerbyd
llong,Cerbyd
lori,Cerbyd
fan,Cerbyd
